,Airline,Year,Passengers
0,Ryanair,2021,72.4
1,Ryanair,2020,52.01
2,Ryanair,2019,152.4
3,Ryanair,2018,139.2
4,Ryanair,2017,128.77
5,Ryanair,2016,116.8
6,Ryanair,2015,101.4
7,Ryanair,2014,86.4
8,Ryanair,2013,81.4
9,Ryanair,2012,79.6
10,Ryanair,2011,76.4
11,Ryanair,2010,72.7
12,Ryanair,2009,65.3
13,Ryanair,2008,57.7
14,Ryanair,2007,49.0
15,Ryanair,2006,40.5
16,Lufthansa Group,2021,46.9
17,Lufthansa Group,2020,36.35
18,Lufthansa Group,2019,145.2
19,Lufthansa Group,2018,142.3
20,Lufthansa Group,2017,130.04
21,Lufthansa Group,2016,117.4
22,Lufthansa Group,2015,115.2
23,Lufthansa Group,2014,112.5
24,Lufthansa Group,2013,110.4
25,Lufthansa Group,2012,108.9
26,Lufthansa Group,2011,112.0
27,Lufthansa Group,2010,95.1
28,Lufthansa Group,2009,81.2
29,Lufthansa Group,2008,76.4
30,Lufthansa Group,2007,68.8
31,Lufthansa Group,2006,59.1
32,Lufthansa Group,Alliance,Star Alliance
33,Aeroflot Group,2021,45.81
34,Aeroflot Group,2020,30.16
35,Aeroflot Group,2019,60.7
36,Aeroflot Group,2018,55.7
37,Aeroflot Group,2017,50.13
38,Aeroflot Group,2016,43.4
39,Aeroflot Group,2015,39.4
40,Aeroflot Group,2014,34.7
41,Aeroflot Group,2013,31.4
42,Aeroflot Group,2012,27.5
43,Aeroflot Group,2011,16.4
44,Aeroflot Group,2010,14.1
45,Aeroflot Group,2009,11.1
46,Aeroflot Group,2008,11.6
47,Aeroflot Group,2007,10.2
48,Aeroflot Group,2006,8.7
49,Aeroflot Group,Alliance,SkyTeam
50,Turkish Airlines,2021,44.8
51,Turkish Airlines,2020,27.95
52,Turkish Airlines,2019,74.28
53,Turkish Airlines,2018,75.16
54,Turkish Airlines,2017,68.61
55,Turkish Airlines,2016,62.8
56,Turkish Airlines,2015,61.2
57,Turkish Airlines,2014,54.8
58,Turkish Airlines,2013,48.3
59,Turkish Airlines,2012,39.0
60,Turkish Airlines,2011,32.6
61,Turkish Airlines,2010,29.1
62,Turkish Airlines,2009,25.1
63,Turkish Airlines,2008,22.6
64,Turkish Airlines,2007,19.6
65,Turkish Airlines,2006,16.9
66,Turkish Airlines,Alliance,Star Alliance
67,Air France-KLM,2021,44.67
68,Air France-KLM,2020,34.1
69,Air France-KLM,2019,104.2
70,Air France-KLM,2018,101.45
71,Air France-KLM,2017,98.72
72,Air France-KLM,2016,93.4
73,Air France-KLM,2015,89.8
74,Air France-KLM,2014,87.4
75,Air France-KLM,2013,78.4
76,Air France-KLM,2012,77.5
77,Air France-KLM,2011,75.8
78,Air France-KLM,2010,70.8
79,Air France-KLM,2009,71.4
80,Air France-KLM,2008,73.8
81,Air France-KLM,2007,74.8
82,Air France-KLM,2006,73.5
83,Air France-KLM,Alliance,SkyTeam
84,International Airlines Group,2021,38.86
85,International Airlines Group,2020,31.3
86,International Airlines Group,2019,118.3
87,International Airlines Group,2018,112.92
88,International Airlines Group,2017,104.83
89,International Airlines Group,2016,100.7
90,International Airlines Group,2015,94.9
91,International Airlines Group,2014,77.3
92,International Airlines Group,2013,67.2
93,International Airlines Group,2012,54.6
94,International Airlines Group,2011,51.7
95,International Airlines Group,2010,50.6
96,International Airlines Group,2009,53.3
97,International Airlines Group,2008,59.8
98,International Airlines Group,2007,61.7
99,International Airlines Group,2006,63.2
100,International Airlines Group,Alliance,oneworld
101,Wizz Air,2021,21.7
102,Wizz Air,2020,16.67
103,Wizz Air,2019,39.8
104,Wizz Air,2018,33.81
105,Wizz Air,2017,28.27
106,Wizz Air,2016,22.78
107,Wizz Air,2015,19.2
108,Wizz Air,2014,15.8
109,Wizz Air,2013,13.5
110,Wizz Air,2012,12.0
111,Wizz Air,2011,11.2
112,Wizz Air,2010,9.6
113,Wizz Air,2009,7.8
114,Wizz Air,2008,5.8
115,Wizz Air,2007,4.2
116,Wizz Air,2006,3.0
117,EasyJet,2021,20.4
118,EasyJet,2020,16.09
119,EasyJet,2019,103.3
120,EasyJet,2018,88.5
121,EasyJet,2017,81.63
122,EasyJet,2016,74.5
123,EasyJet,2015,69.9
124,EasyJet,2014,65.3
125,EasyJet,2013,61.4
126,EasyJet,2012,59.2
127,EasyJet,2011,55.5
128,EasyJet,2010,49.7
129,EasyJet,2009,46.1
130,EasyJet,2008,44.6
131,EasyJet,2007,38.2
132,EasyJet,2006,33.0
133,Pegasus Airlines,2021,20.16
134,Pegasus Airlines,2020,14.71
135,Pegasus Airlines,2019,30.76
136,Pegasus Airlines,2018,29.97
137,Pegasus Airlines,2017,27.82
138,Pegasus Airlines,2016,24.14
139,Pegasus Airlines,2015,22.3
140,Pegasus Airlines,2014,19.7
141,Pegasus Airlines,2013,16.8
142,Pegasus Airlines,2012,13.6
143,Pegasus Airlines,2011,11.3
144,Pegasus Airlines,2010,8.6
145,Pegasus Airlines,2009,5.9
146,Pegasus Airlines,2008,4.4
147,Pegasus Airlines,2007,NaN
148,Pegasus Airlines,2006,3.1
149,S7 Airlines,2021,17.83
150,S7 Airlines,2020,12.35
151,S7 Airlines,2019,17.9
152,S7 Airlines,2018,15.96
153,S7 Airlines,2017,14.25
154,S7 Airlines,2016,13.15
155,S7 Airlines,2015,10.6
156,S7 Airlines,2014,10.1
157,S7 Airlines,2013,9.3
158,S7 Airlines,2012,8.3
159,S7 Airlines,2011,5.1
160,S7 Airlines,2010,4.8
161,S7 Airlines,2009,5.6
162,S7 Airlines,2008,5.9
163,S7 Airlines,2007,5.7
164,S7 Airlines,2006,4.9
